iter	Passed	Remaining
0	0	41
1	0	39
2	1	40
3	1	36
4	1	35
5	2	35
6	2	35
7	3	34
8	3	34
9	3	33
10	4	33
11	4	32
12	4	32
13	5	31
14	5	31
15	5	31
16	6	31
17	6	30
18	7	30
19	7	30
20	7	29
21	8	29
22	8	28
23	9	28
24	9	28
25	9	27
26	10	27
27	10	27
28	11	26
29	11	26
30	11	26
31	12	26
32	12	25
33	13	25
34	13	25
35	13	24
36	14	24
37	14	24
38	15	23
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	23	16
59	24	16
60	25	16
61	26	16
62	26	15
63	27	15
64	27	14
65	28	14
66	28	14
67	29	13
68	29	13
69	30	12
70	30	12
71	30	12
72	31	11
73	31	11
74	32	10
75	32	10
76	33	9
77	33	9
78	34	9
79	34	8
80	34	8
81	35	7
82	35	7
83	35	6
84	36	6
85	36	5
86	37	5
87	37	5
88	37	4
89	38	4
90	38	3
91	39	3
92	39	2
93	39	2
94	40	2
95	40	1
96	41	1
97	41	0
98	41	0
99	42	0
